nameStd,nameAlt,subtitile,hasRD,hasGR,hasYL,hasBL,hasOR,hasSV,platformType,WBDir,EBDir,compassN
Addison Road,Addison Rd,Seat Pleasant,,,,TRUE,,TRUE,Island,Ashburn/Franconia-Springfield,Largo,n
Ashburn,,,,,,,,TRUE,Terminus WB,Ashburn,Ashburn,nw
Ballston-MU,,,,,,,TRUE,TRUE,Side,Ashburn/Vienna,Largo/New Carrollton,n
Benning Road,Benning Rd,,,,,TRUE,,TRUE,Island,Ashburn/Franconia-Springfield,Largo,nw
Capitol Heights,,,,,,TRUE,,TRUE,Island,Ashburn/Franconia-Springfield,Largo,n
Capitol South,,,,,,TRUE,TRUE,TRUE,Island,Ashburn/Franconia-Springfield/Vienna,Largo/New Carrollton,n
Clarendon,,,,,,,TRUE,TRUE,Side,Ashburn/Vienna,Largo/New Carrollton,ne
Court House,,,,,,,TRUE,TRUE,Island,Ashburn/Vienna,Largo/New Carrollton,n
Downtown Largo,Largo,,,,,TRUE,,TRUE,Terminus EB,Largo,Largo,ne
Dulles International Airport,Washington Dulles International Airport,,,,,,,TRUE,Island,Ashburn,Largo,n
East Falls Church,,,,,,,TRUE,TRUE,Island,Ashburn/Vienna,Largo/New Carrollton,n
Eastern Market,,,,,,TRUE,TRUE,TRUE,Island,Ashburn/Franconia-Springfield/Vienna,Largo/New Carrollton,nw
Farragut West,,,,,,TRUE,TRUE,TRUE,Side,Ashburn/Franconia-Springfield/Vienna,Largo/New Carrollton,n
Federal Center SW,,,,,,TRUE,TRUE,TRUE,Island,Ashburn/Franconia-Springfield/Vienna,Largo/New Carrollton,n
Federal Triangle,,,,,,TRUE,TRUE,TRUE,Island,Ashburn/Franconia-Springfield/Vienna,Largo/New Carrollton,w
Foggy Bottom-GWU,,Kennedy Center,,,,TRUE,TRUE,TRUE,Island,Ashburn/Franconia-Springfield/Vienna,Largo/New Carrollton,n
Greensboro,,,,,,,,TRUE,Island,Ashburn,Largo,nw
Herndon,,,,,,,,TRUE,Island,Ashburn,Largo,n
Innovation Center,,,,,,,,TRUE,Island,Ashburn,Largo,n
L'Enfant Plaza (Lower Level),,,,,,TRUE,TRUE,TRUE,Island,Ashburn/Franconia-Springfield/Vienna,Largo/New Carrollton,n
Loudoun Gateway,,,,,,,,TRUE,Island,Ashburn,Largo,nw
McLean,,,,,,,,TRUE,Island,Ashburn,Largo,ne
McPherson Square,McPherson Sq,,,,,TRUE,TRUE,TRUE,Side,Ashburn/Franconia-Springfield/Vienna,Largo/New Carrollton,n
Metro Center (Lower Level),,,,,,TRUE,TRUE,TRUE,Island,Ashburn/Franconia-Springfield/Vienna,Largo/New Carrollton,w
Morgan Boulevard,Morgan Blvd,,,,,TRUE,,TRUE,Island,Ashburn/Franconia-Springfield,Largo,n
Potomac Avenue,Potomac Ave,,,,,TRUE,TRUE,TRUE,Island,Ashburn/Franconia-Springfield/Vienna,Largo/New Carrollton,n
Reston Town Center,,,,,,,,TRUE,Island,Ashburn,Largo,n
Rosslyn,,,,,,TRUE,TRUE,TRUE,Gap Island,Ashburn/Franconia-Springfield/Vienna,Largo/New Carrollton,e
Smithsonian,,National Mall,,,,TRUE,TRUE,TRUE,Side,Ashburn/Franconia-Springfield/Vienna,Largo/New Carrollton,w
Spring Hill,,,,,,,,TRUE,Island,Ashburn,Largo,nw
Stadium-Armory,,,,,,TRUE,TRUE,TRUE,Island,Ashburn/Franconia-Springfield/Vienna,Largo/New Carrollton,e
Tysons,,,,,,,,TRUE,Island,Ashburn,Largo,n
Virginia Square-GMU,,,,,,,TRUE,TRUE,Side,Ashburn/Vienna,Largo/New Carrollton,ne
Wiehle-Reston East,,,,,,,,TRUE,Island,Ashburn,Largo,n
Anacostia,,,,TRUE,,,,,Island,Greenbelt,Branch Ave,w
